IDRecord;Master;ClientName;ClientPhone;Date;Status;Service;User;discount
44;4;Артем Комаров;+79164567890;06/10/2026 10:00:00;2;1;1;False
45;5;Максим Щербаков;+79165678901;06/10/2026 11:00:00;2;6;1;False
46;1;Кирилл Дмитриев;+79166789012;06/11/2026 10:00:00;2;2;1;False
47;2;Станислав Мельников;+79167890123;06/11/2026 11:00:00;2;8;1;True
48;3;Георгий Блинов;+79168901234;06/11/2026 12:00:00;2;4;1;False
49;4;Виолетта Дерябина;+79169012345;06/12/2026 09:00:00;2;1;1;False
50;5;Анастасия Кузнецова;+79160123456;06/12/2026 10:00:00;2;3;1;False
51;1;Дарья Попова;+79161234567;06/13/2026 11:00:00;2;7;1;False
52;2;Полина Васильева;+79162345678;06/13/2026 12:00:00;2;5;1;True
53;3;Алина Соколова;+79163456789;06/14/2026 09:00:00;2;2;1;False
54;4;Варвара Михайлова;+79164567890;06/14/2026 10:00:00;2;6;1;False
55;5;Кристина Новикова;+79165678901;06/14/2026 11:00:00;2;1;1;False
56;1;Милана Федорова;+79166789012;06/15/2026 10:00:00;2;4;1;False
57;2;Василиса Морозова;+79167890123;06/15/2026 11:00:00;2;8;1;True
58;3;Есения Волкова;+79168901234;06/15/2026 12:00:00;2;3;1;False
59;4;Майя Алексеева;+79169012345;06/16/2026 09:00:00;2;5;1;False
60;5;Сафия Лебедева;+79160123456;06/16/2026 10:00:00;2;1;1;False
61;1;Амина Семенова;+79161234567;05/01/2026 10:00:00;2;7;1;False
62;2;Ясмина Егорова;+79162345678;05/01/2026 11:00:00;2;2;1;False
63;3;Эвелина Павлова;+79163456789;05/02/2026 09:00:00;2;6;1;True
64;4;Элина Козлова;+79164567890;05/02/2026 10:00:00;2;4;1;False
65;5;Элиза Степанова;+79165678901;05/02/2026 11:00:00;2;8;1;False
66;1;Эмилия Николаева;+79166789012;05/03/2026 10:00:00;2;1;1;False
67;2;Эрика Орлова;+79167890123;05/03/2026 11:00:00;2;3;1;True
68;3;Юна Андреева;+79168901234;05/03/2026 12:00:00;2;5;1;False
69;4;Юки Макарова;+79169012345;05/04/2026 09:00:00;2;2;1;False
70;5;Ядвига Никитина;+79160123456;05/04/2026 10:00:00;2;7;1;False
71;1;Янина Захарова;+79161234567;05/05/2026 11:00:00;2;6;1;False
72;2;Ярослава Зайцева;+79162345678;05/05/2026 12:00:00;2;1;1;True
73;3;Аврора Соловьева;+79163456789;05/06/2026 09:00:00;2;4;1;False
74;4;Агафья Борисова;+79164567890;05/06/2026 10:00:00;2;8;1;False
75;5;Аделина Яковлева;+79165678901;05/06/2026 11:00:00;2;2;1;False
76;1;Аида Григорьева;+79166789012;05/07/2026 10:00:00;2;5;1;False
77;2;Айлин Романова;+79167890123;05/07/2026 11:00:00;2;3;1;True
78;3;Айсель Воробьева;+79168901234;05/07/2026 12:00:00;2;7;1;False
79;4;Акико Сергеева;+79169012345;05/08/2026 09:00:00;2;1;1;False
80;5;Акулина Кузьмина;+79160123456;05/08/2026 10:00:00;2;6;1;False
81;1;Алевтина Фомина;+79161234567;05/09/2026 11:00:00;2;4;1;False
82;2;Алиана Данилова;+79162345678;05/09/2026 12:00:00;2;2;1;True
83;3;Алисия Жукова;+79163456789;05/10/2026 09:00:00;2;8;1;False
84;4;Алтынай Назарова;+79164567890;05/10/2026 10:00:00;2;1;1;False
85;5;Амалия Ковалева;+79165678901;05/10/2026 11:00:00;2;5;1;False
86;1;Амелия Ильина;+79166789012;05/11/2026 10:00:00;2;3;1;False
87;2;Амина Максимова;+79167890123;05/11/2026 11:00:00;2;7;1;True
88;3;Амира Филиппова;+79168901234;05/11/2026 12:00:00;2;2;1;False
89;4;Анастасия Владимирова;+79169012345;05/12/2026 09:00:00;2;6;1;False
90;5;Ангелина Титова;+79160123456;05/12/2026 10:00:00;2;1;1;False
